t,X,Y,Z
35.189,416,353,1.166108
35.22,412,352,1.166702
35.252,383,366,1.23772
35.286,403,334,1.129333
35.323,387,352,1.179968
35.353,383,278,1.04376
35.385,371,264,1.043958
35.419,347,256,1.051443
35.454,337,244,1.054822
35.483,326,235,1.062093
35.522,316,230,1.07256
35.553,301,220,1.08298
35.586,294,220,1.091338
35.618,320,250,1.12209
35.652,318,255,1.13351
35.685,315,253,1.136323
35.719,298,217,1.111748
35.754,300,228,1.124757
35.784,293,217,1.118474
35.82,298,230,1.15335
35.853,296,230,1.155951
35.884,287,219,1.121881
35.922,286,219,1.121795
35.954,286,219,1.121244
35.988,285,220,1.119974
36.02,285,221,1.118671
36.054,285,221,1.117698
36.085,285,183,1.090141
36.123,285,183,1.09011
36.154,285,183,1.090154
36.185,285,184,1.090819
36.22,285,184,1.090381
36.253,285,184,1.090204
36.284,285,184,1.089895
36.32,285,184,1.089734
36.351,285,184,1.089546
36.384,285,184,1.089464
36.418,285,184,1.089169
36.454,286,185,1.089047
36.484,286,185,1.089077
36.522,288,186,1.088719
36.553,285,220,1.110731
36.586,285,220,1.110733
36.621,285,221,1.110748
36.655,285,220,1.110642
36.687,285,220,1.110652
36.722,285,223,1.111287
36.755,285,223,1.111201
36.79,285,224,1.111844
36.823,285,224,1.111755
36.853,284,225,1.111895
36.887,284,226,1.111882
36.923,284,224,1.111468
36.954,284,223,1.111051
36.988,284,222,1.110515
37.024,284,222,1.110165
37.054,284,222,1.109871
37.089,283,225,1.109828
37.122,283,223,1.108865
37.154,285,222,1.106968
37.188,285,222,1.106594
37.223,285,222,1.106409
37.253,291,219,1.100452
37.287,289,190,1.080114
37.322,288,189,1.080123
37.352,288,189,1.080167
37.39,288,189,1.08024
37.422,288,189,1.080441
37.451,288,189,1.080542
37.487,289,189,1.08074
37.522,289,189,1.08032
37.553,291,189,1.081035
37.587,295,189,1.082562
37.62,298,189,1.085081
37.653,303,190,1.089716
37.69,323,203,1.123664
37.723,338,183,1.09544
37.752,355,221,1.115345
37.786,359,221,1.117506
37.819,350,188,1.109875
37.856,358,188,1.114305
37.889,370,201,1.125128
37.924,393,192,1.136467
37.958,398,188,1.13423
37.991,407,201,1.142872
38.022,427,186,1.142699
38.057,430,220,1.22846
38.09,432,224,1.251315
38.124,436,238,1.25427
